"Address","Source Line","Assembly","Hardware Event Count: Total","Hardware Event Count: Self","Hardware Event Sample Count: Total","Hardware Event Sample Count: Self"
"0x7f61252f4b30","473","mov dword ptr [rbx+0x78], 0x0","","","",""
"0x7f61252f4b37","473","mov dword ptr [rbx+0x7c], 0x0","","","",""
"0x7f61252f4b3e","473","mov rdx, 0x7c00623c8","","","",""
"0x7f61252f4b48","473","mov rax, qword ptr [r15+0x60]","","","",""
"0x7f61252f4b4c","473","lea rdi, ptr [rax+0x28]","","","",""
"0x7f61252f4b50","473","cmp rdi, qword ptr [r15+0x70]","","","",""
"0x7f61252f4b54","473","jnbe 0x7f61252f6cf3 <Block 287>","","","",""
"0x7f61252f4b5a","0","Block 14:","","","",""
"0x7f61252f4b5a","473","mov qword ptr [r15+0x60], rdi","","","",""
"0x7f61252f4b5e","473","mov rcx, qword ptr [rdx+0xa8]","","","",""
"0x7f61252f4b65","473","mov qword ptr [rax], rcx","","","",""
"0x7f61252f4b68","473","mov rcx, rdx","","","",""
"0x7f61252f4b6b","473","shr rcx, 0x3","","","",""
"0x7f61252f4b6f","473","mov dword ptr [rax+0x8], ecx","","","",""
"0x7f61252f4b72","473","xor rcx, rcx","","","",""
"0x7f61252f4b75","473","mov dword ptr [rax+0xc], ecx","","","",""
"0x7f61252f4b78","473","xor rcx, rcx","","","",""
"0x7f61252f4b7b","473","mov qword ptr [rax+0x10], rcx","","","",""
"0x7f61252f4b7f","473","mov qword ptr [rax+0x18], rcx","","","",""
"0x7f61252f4b83","473","mov qword ptr [rax+0x20], rcx","","","",""
"0x7f61252f4b87","0","Block 15:","","","",""
"0x7f61252f4b87","475","mov rdx, 0x7c0061a20","","","",""
"0x7f61252f4b91","475","mov r14, rax","","","",""
"0x7f61252f4b94","475","mov rax, qword ptr [r15+0x60]","","","",""
"0x7f61252f4b98","475","lea rdi, ptr [rax+0x10]","","","",""
"0x7f61252f4b9c","475","cmp rdi, qword ptr [r15+0x70]","","","",""
"0x7f61252f4ba0","475","jnbe 0x7f61252f6d00 <Block 289>","","","",""
"0x7f61252f4ba6","0","Block 16:","","","",""
"0x7f61252f4ba6","475","mov qword ptr [r15+0x60], rdi","","","",""
"0x7f61252f4baa","475","mov rcx, qword ptr [rdx+0xa8]","","","",""
"0x7f61252f4bb1","475","mov qword ptr [rax], rcx","","","",""
"0x7f61252f4bb4","475","mov rcx, rdx","","","",""
"0x7f61252f4bb7","475","shr rcx, 0x3","","","",""
"0x7f61252f4bbb","475","mov dword ptr [rax+0x8], ecx","","","",""
"0x7f61252f4bbe","475","xor rcx, rcx","","","",""
"0x7f61252f4bc1","475","mov dword ptr [rax+0xc], ecx","","","",""
"0x7f61252f4bc4","475","xor rcx, rcx","","","",""
"0x7f61252f4bc7","0","Block 17:","","","",""
"0x7f61252f4bc7","475","mov r9, rax","","","",""
"0x7f61252f4bca","475","mov rdx, r9","","","",""
"0x7f61252f4bcd","475","mov rsi, 0x7f61206da038","","","",""
"0x7f61252f4bd7","475","add qword ptr [rsi+0x138], 0x1","","","",""
"0x7f61252f4bdf","475","mov rdx, 0x7f61206d83b8","","","",""
"0x7f61252f4be9","475","mov esi, dword ptr [rdx+0xdc]","","","",""
"0x7f61252f4bef","475","add esi, 0x8","400000","400000","2","2"
"0x7f61252f4bf2","475","mov dword ptr [rdx+0xdc], esi","","","",""
"0x7f61252f4bf8","475","mov rdx, 0x7f61206cfef0","","","",""
"0x7f61252f4c02","475","and esi, 0x7ffff8","","","",""
"0x7f61252f4c08","475","cmp esi, 0x0","","","",""
"0x7f61252f4c0b","475","jz 0x7f61252f6d0d <Block 291>","","","",""
"0x7f61252f4c11","0","Block 18:","","","",""
"0x7f61252f4c11","475","mov rdx, r9","","","",""
"0x7f61252f4c14","475","mov rsi, 0x7f61206d83b8","","","",""
"0x7f61252f4c1e","475","add qword ptr [rsi+0x108], 0x1","","","",""
"0x7f61252f4c26","475","mov rdx, 0x7f6120440a30","","","",""
"0x7f61252f4c30","475","mov esi, dword ptr [rdx+0xdc]","","","",""
"0x7f61252f4c36","475","add esi, 0x8","","","",""
"0x7f61252f4c39","475","mov dword ptr [rdx+0xdc], esi","","","",""
"0x7f61252f4c3f","475","mov rdx, 0x7f61202c9480","","","",""
"0x7f61252f4c49","475","and esi, 0x7ffff8","","","",""
"0x7f61252f4c4f","475","cmp esi, 0x0","","","",""
"0x7f61252f4c52","475","jz 0x7f61252f6d24 <Block 293>","","","",""
"0x7f61252f4c58","0","Block 19:","","","",""
"0x7f61252f4c58","475","mov byte ptr [r9+0xc], 0x1","","","",""
"0x7f61252f4c5d","475","mov rdx, r9","","","",""
"0x7f61252f4c60","475","mov rsi, 0x7f61206da038","","","",""
"0x7f61252f4c6a","475","mov edx, dword ptr [rdx+0x8]","","","",""
"0x7f61252f4c6d","475","shl rdx, 0x3","","","",""
"0x7f61252f4c71","475","cmp rdx, qword ptr [rsi+0x150]","","","",""
"0x7f61252f4c78","475","jnz 0x7f61252f4c87 <Block 21>","","","",""
"0x7f61252f4c7a","0","Block 20:","","","",""
"0x7f61252f4c7a","475","add qword ptr [rsi+0x158], 0x1","","","",""
"0x7f61252f4c82","475","jmp 0x7f61252f4ced <Block 28>","","","",""
"0x7f61252f4c87","0","Block 21:","","","",""
"0x7f61252f4c87","475","cmp rdx, qword ptr [rsi+0x160]","","","",""
"0x7f61252f4c8e","475","jnz 0x7f61252f4c9d <Block 23>","","","",""
"0x7f61252f4c90","0","Block 22:","","","",""
"0x7f61252f4c90","475","add qword ptr [rsi+0x168], 0x1","","","",""
"0x7f61252f4c98","475","jmp 0x7f61252f4ced <Block 28>","","","",""
"0x7f61252f4c9d","0","Block 23:","","","",""
"0x7f61252f4c9d","475","cmp qword ptr [rsi+0x150], 0x0","","","",""
"0x7f61252f4ca8","475","jnz 0x7f61252f4cc1 <Block 25>","","","",""
"0x7f61252f4caa","0","Block 24:","","","",""
"0x7f61252f4caa","475","mov qword ptr [rsi+0x150], rdx","","","",""
"0x7f61252f4cb1","475","mov qword ptr [rsi+0x158], 0x1","","","",""
"0x7f61252f4cbc","475","jmp 0x7f61252f4ced <Block 28>","","","",""
"0x7f61252f4cc1","0","Block 25:","","","",""
"0x7f61252f4cc1","475","cmp qword ptr [rsi+0x160], 0x0","","","",""
"0x7f61252f4ccc","475","jnz 0x7f61252f4ce5 <Block 27>","","","",""
"0x7f61252f4cce","0","Block 26:","","","",""
"0x7f61252f4cce","475","mov qword ptr [rsi+0x160], rdx","","","",""
"0x7f61252f4cd5","475","mov qword ptr [rsi+0x168], 0x1","","","",""
"0x7f61252f4ce0","475","jmp 0x7f61252f4ced <Block 28>","","","",""
"0x7f61252f4ce5","0","Block 27:","","","",""
